office_name	longitude	latitude	streetname	streetnum	city	zipcode
Houston Central	-95.375701904297	29.795190811157	Enid St	501	Houston	77009
Dallas	-96.872505187988	32.883186340332	Timberview	3050	Dallas	75229
San Antonio	-98.611427307129	29.530319213867	Brook Green	9507	San Antonio	78250
Los Angeles	-117.363677978520	34.118396759033	Marcella	1016	Rialto	92376
San Antonio	-98.624771118164	29.358390808105	HAZEL VALLEY ST	6146	San Antonio	78242
Los Angeles	-117.317398071290	33.976963043213	Spieth	264	Riverside	92507
Dallas	-96.773643493652	33.176326751709	Del Rio	12031	Frisco	75035
Fort Worth	-97.255294799805	32.870124816895	Brandywine	6924	Watauga	76148
Los Angeles	-118.210617065430	34.164321899414	Jennings	1	Los Angeles	90032
Dallas	-96.729682000000	32.900508000000	Glen Springs	9105	Dallas	75243
Fort Worth	-96.653732299805	32.821712493896	Hyde Park	4201	Mesquite	75150
Fort Worth	-96.613105773926	32.781085968018	Hillcrest	1327	Mesquite	75149
San Antonio	-98.520637512207	29.494852066040	DAWNVIEW LN	527	San Antonio	78213
Houston Central	-95.297569274902	30.011621475220	BOLTON BRIDGE LN	19906	HUMBLE	77338
Austin	-97.680831909180	30.385623931885	Hornsby	11707	Austin	78753
Dallas	-96.671081542969	33.019821166992	15th	3316	Plano	75074
San Antonio	-98.533195495605	29.505332946777	Lively Dr	322	San Antonio	78213
Fort Worth	-97.264816284180	32.727058410645	Avenue J	4613	Fort Worth	76105
Houston Central	-95.621459960938	29.895641326904	Sandalfoot	14014	Houston	77095
San Antonio	-98.447883000000	29.520959000000	Haverford Dr	415	San Antonio	78217
Fort Worth	-97.246093750000	32.755287170410	Tierney	5054	Fort Worth	76112
Dallas	-96.897254943848	33.014141082764	Chesterfield	1706	Carrollton	75007
Austin	-97.689865112305	30.309656143188	Northridge	2007	Austin	78723
Philadelphia	-75.173301696777	39.928752899170	CHADWICK	1752	PHILADELPHIA	19145
Houston Central	-95.635070800781	29.850713729858	Stanhope	5054	Houston	77084
Dallas	-96.717315673828	32.888221740723	Vistadale	9810	Dallas	75238
Dallas	-96.991111000000	32.679008000000	Brevito	1128	Grand Prairie	75052
Los Angeles	-118.262123107910	33.831611633301	234th	1721	Carson	90001
Denton	-97.018951416016	33.008674621582	Cassion	1047	Lewisville	75067
Fort Worth	-96.864486694336	32.751949310303	El Tivoli	2738	Dallas	75211
Dallas	-96.993682861328	32.703639984131	Cielo Vista Drive	805	Grand Prairie	75052
Fort Worth	-97.389587402344	32.648250579834	CARTAGENA	4445	Fort Worth	76133
Fort Worth	-97.386840820312	32.726902008057	Diaz	4517	Fort Worth	76107
San Antonio	-98.442787170410	29.535911560059	Tandom	10506	San Antonio	78217
